ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_worked_hours;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Total;2021;7679.474;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: No hours actually worked;2021;203.431;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 1-14;2021;382.294;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 15-29;2021;836.046;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 30-34;2021;421.698;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 35-39;2021;363.258;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 40-48;2021;1187;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 49+;2021;1180.363;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Not elsewhere classified;2021;3105.384;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Total;2021;5850.428;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: No hours actually worked;2021;184.736;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 1-14;2021;239.249;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 15-29;2021;592.675;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 30-34;2021;333.558;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 35-39;2021;311.186;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 40-48;2021;1096.376;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 49+;2021;1160.25;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Not elsewhere classified;2021;1932.398;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: Total;2021;1829.046;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: No hours actually worked;2021;18.695;Unreliable;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 1-14;2021;143.045;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 15-29;2021;243.371;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 30-34;2021;88.14;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 35-39;2021;52.072;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 40-48;2021;90.624;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 49+;2021;20.113;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: Not elsewhere classified;2021;1172.986;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
