ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_informal;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Agriculture, Non-Agriculture): Total;2021;86.125;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Agriculture, Non-Agriculture): Agriculture;2021;99.15;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Agriculture, Non-Agriculture): Non-agriculture;2021;73.713;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Agriculture, Non-Agriculture): Total;2021;82.633;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Agriculture, Non-Agriculture): Agriculture;2021;98.841;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Agriculture, Non-Agriculture): Non-agriculture;2021;70.815;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Agriculture, Non-Agriculture): Total;2021;97.295;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Agriculture, Non-Agriculture): Agriculture;2021;99.746;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Agriculture, Non-Agriculture): Non-agriculture;2021;91.578;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Total;2021;86.125;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
