ref_area.label;source.label;indicator.label;sex.label;time;obs_value_NEET;obs_status.label;note_indicator.label;note_source.label
Afghanistan;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2021;43.769;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2021;19.632;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2021;65.079;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2020;53.764;Break in series;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2020;32.164;Break in series;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2020;74.011;Break in series;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2017;42.84;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2017;18.638;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2017;67.177;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2022;24.766;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2022;23.492;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2022;25.999;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2021;21.639;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2021;20.753;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2021;22.491;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2019;22.922;Break in series;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
