Index of Economic Freedom -- Explore the Data
Source: The Heritage Foundation
http://www.heritage.org/index

Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Albania,2023,65.3,55.9,49.2,35.5,89.1,71,58.2,70.7,49.7,81.3,82.8,70,70
Albania,2022,66.6,55.5,35.6,49.8,89.1,72.1,70.6,70.7,51.1,82,82.6,70,70
Albania,2021,65.2,46.1,40.6,22.8,89,74.6,86.6,66.1,51.6,82,82.8,70,70
Albania,2020,66.9,57.1,38.8,33,85.9,74.6,86.3,65.7,52.1,81.2,88.4,70,70
Albania,2019,66.5,54.8,40.4,30.6,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70,70
Albania,2018,64.5,54.1,39.9,25.4,85.1,72.7,67.5,69.1,50.4,82.4,87.8,70,70
Albania,2017,64.4,54,39.7,28.5,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70,70
Albania,2016,65.9,35,33,N/A,87.8,75,N/A,67.6,51.5,81.7,87.6,70,70
Albania,2015,65.7,30,31,N/A,87.2,76.1,N/A,70.6,52.9,80.8,87.8,70,70
Armenia,2023,65.1,50.3,31.5,51.6,87.5,76.3,71.4,64.9,58.7,70.5,73.6,75,70
Armenia,2022,65.3,50.4,50.8,33.1,86.9,78.9,75.5,64.9,47.2,77.5,73.6,75,70
Armenia,2021,71.9,57.3,45,55.3,87.1,81.3,84.3,81.9,74.5,76.9,73.8,75,70
Armenia,2020,70.6,60.7,43.4,54.1,84.9,80.6,68.8,81,72.5,76,80.6,75,70
Armenia,2019,67.7,57.2,38.6,46.3,84.7,79,53,78.3,71.4,77.8,80.8,75,70
Armenia,2018,68.7,55.3,40.5,47.4,84.7,80,67.2,78.7,69.9,75.8,80,75,70
Armenia,2017,70.3,55.5,43.4,42.5,83.7,81.7,82.9,78.5,72.4,72.8,80.2,80,70
Armenia,2016,67,20,37,N/A,83.8,80.7,N/A,77.5,62.2,72.8,85.6,80,70
Armenia,2015,67.1,20,36,N/A,84.4,82.8,N/A,82.7,64.3,70.6,85.4,75,70
Austria,2023,71.1,97,95.2,80.9,45.7,13,54.5,78.5,78.8,80.4,78.6,80,70
Austria,2022,73.8,98.4,82.9,94.6,45.5,20.3,71.7,82.3,78.4,82.3,79.2,80,70
Austria,2021,73.9,86.8,84.8,83.5,45.7,29.1,90,72.6,68.4,81.7,84,90,70
Austria,2020,73.3,87.3,84,73.2,51.3,27.2,87.9,73,68.3,81,86.4,90,70
Austria,2019,72,84.2,77.4,71.3,50.5,24.5,85.5,74.9,68.7,81.5,86,90,70
Austria,2018,71.8,83.5,73.5,80.9,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90,70
