ref_area,time,sex,obs_value_unempl_rate,obs_value_informal,obs_value_worked_hours,obs_value_NEET,obs_value_PKB,obs_value_economic_freedom_overall,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Albania,2015,Female,17.121,,463.977,31.283,35330.14,65.7,30.0,31.0,,87.2,76.1,,70.6,52.9,80.8,87.8,70.0,70.0
Albania,2015,Male,17.247,,617.985,28.485,35330.14,65.7,30.0,31.0,,87.2,76.1,,70.6,52.9,80.8,87.8,70.0,70.0
Albania,2015,Total,17.193,,1081.962,29.816,35330.14,65.7,30.0,31.0,,87.2,76.1,,70.6,52.9,80.8,87.8,70.0,70.0
Albania,2016,Female,14.471,,504.203,27.622,34446.86,65.9,35.0,33.0,,87.8,75.0,,67.6,51.5,81.7,87.6,70.0,70.0
Albania,2016,Male,16.141,,646.75,27.192,34446.86,65.9,35.0,33.0,,87.8,75.0,,67.6,51.5,81.7,87.6,70.0,70.0
Albania,2016,Total,15.418,,1150.953,27.391,34446.86,65.9,35.0,33.0,,87.8,75.0,,67.6,51.5,81.7,87.6,70.0,70.0
Albania,2017,Female,12.504,,514.599,27.608,34421.73,64.4,54.0,39.7,28.5,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70.0,70.0
Albania,2017,Male,14.442,,677.134,25.084,34421.73,64.4,54.0,39.7,28.5,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70.0,70.0
Albania,2017,Total,13.616,,1191.733,26.227,34421.73,64.4,54.0,39.7,28.5,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70.0,70.0
Albania,2018,Female,11.883,,539.522,27.772,34463.2,64.5,54.1,39.9,25.4,85.1,72.7,67.5,69.1,50.4,82.4,87.8,70.0,70.0
Albania,2018,Male,12.63,,689.436,25.531,34463.2,64.5,54.1,39.9,25.4,85.1,72.7,67.5,69.1,50.4,82.4,87.8,70.0,70.0
Albania,2018,Total,12.304,,1228.957,26.614,34463.2,64.5,54.1,39.9,25.4,85.1,72.7,67.5,69.1,50.4,82.4,87.8,70.0,70.0
Albania,2019,Female,11.316,,562.476,25.454,34266.48,66.5,54.8,40.4,30.6,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70.0,70.0
Albania,2019,Male,11.585,,702.194,26.196,34266.48,66.5,54.8,40.4,30.6,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70.0,70.0
Albania,2019,Total,11.466,,1264.67,25.824,34266.48,66.5,54.8,40.4,30.6,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70.0,70.0
Albania,2020,Female,11.852,,552.784,26.47,34734.81,66.9,57.1,38.8,33.0,85.9,74.6,86.3,65.7,52.1,81.2,88.4,70.0,70.0
Albania,2020,Male,11.468,,688.773,27.414,34734.81,66.9,57.1,38.8,33.0,85.9,74.6,86.3,65.7,52.1,81.2,88.4,70.0,70.0
Albania,2020,Total,11.639,,1241.556,26.943,34734.81,66.9,57.1,38.8,33.0,85.9,74.6,86.3,65.7,52.1,81.2,88.4,70.0,70.0
Albania,2021,Female,11.68,,555.018,25.96,37259.16,65.2,46.1,40.6,22.8,89.0,74.6,86.6,66.1,51.6,82.0,82.8,70.0,70.0
Albania,2021,Male,11.309,,692.929,22.19,37259.16,65.2,46.1,40.6,22.8,89.0,74.6,86.6,66.1,51.6,82.0,82.8,70.0,70.0
Albania,2021,Total,11.474,,1247.947,24.084,37259.16,65.2,46.1,40.6,22.8,89.0,74.6,86.6,66.1,51.6,82.0,82.8,70.0,70.0
Albania,2022,Female,11.235,,597.42,25.656,37724.67,66.6,55.5,35.6,49.8,89.1,72.1,70.6,70.7,51.1,82.0,82.6,70.0,70.0
Albania,2022,Male,10.398,,700.48,21.727,37724.67,66.6,55.5,35.6,49.8,89.1,72.1,70.6,70.7,51.1,82.0,82.6,70.0,70.0
Albania,2022,Total,10.785,,1297.899,23.714,37724.67,66.6,55.5,35.6,49.8,89.1,72.1,70.6,70.7,51.1,82.0,82.6,70.0,70.0
Albania,2023,Female,10.958,,610.061,24.048,39142.37,65.3,55.9,49.2,35.5,89.1,71.0,58.2,70.7,49.7,81.3,82.8,70.0,70.0
Albania,2023,Male,10.421,,714.135,22.275,39142.37,65.3,55.9,49.2,35.5,89.1,71.0,58.2,70.7,49.7,81.3,82.8,70.0,70.0
